simulation,faulted_line,first_cascade_time,first_cascade_component,first_cascade_reason,num_cascade_events
Line 09 - 39_load=0.9411_wind=0.3813_0.4099_0.4656,Line 09 - 39,2.11,Line 01 - 02DR1,,4
Line 10 - 11_load=0.9411_wind=0.3813_0.4099_0.4656,Line 10 - 11,3.11,Line 01 - 39DR2,,4
Line 10 - 13_load=0.9411_wind=0.3813_0.4099_0.4656,Line 10 - 13,1.47,Line 01 - 39DR2,,5
Line 13 - 14_load=0.9411_wind=0.3813_0.4099_0.4656,Line 13 - 14,1.47,Line 01 - 39DR2,,5
Line 15 - 16_load=0.9411_wind=0.3813_0.4099_0.4656,Line 15 - 16,2.09,NSG_2,OverVoltage,4
Line 16 - 17_load=0.9411_wind=0.3813_0.4099_0.4656,Line 16 - 17,2.32,NSG_2,OverVoltage,79
Line 16 - 19_load=0.9411_wind=0.3813_0.4099_0.4656,Line 16 - 19,1.83,G 04,Over-Speed,18
Line 16 - 21_load=0.9411_wind=0.3813_0.4099_0.4656,Line 16 - 21,2.15,NSG_2,OverVoltage,18
Line 16 - 24_load=0.9411_wind=0.3813_0.4099_0.4656,Line 16 - 24,2.12,NSG_2,OverVoltage,1
Line 17 - 18_load=0.9411_wind=0.3813_0.4099_0.4656,Line 17 - 18,2.14,NSG_2,OverVoltage,1
Line 21 - 22_load=0.9411_wind=0.3813_0.4099_0.4656,Line 21 - 22,1.99,Line 23 - 24DR2,,78
Line 25 - 26_load=0.9411_wind=0.3813_0.4099_0.4656,Line 25 - 26,2.17,NSG_2,OverVoltage,1
Line 26 - 28_load=0.9411_wind=0.3813_0.4099_0.4656,Line 26 - 28,2.27,NSG_2,OverVoltage,1
Line 26 - 29_load=0.9411_wind=0.3813_0.4099_0.4656,Line 26 - 29,2.47,NSG_2,OverVoltage,18
Line 28 - 29_load=0.9411_wind=0.3813_0.4099_0.4656,Line 28 - 29,1.64,Line 26 - 29DR1,,19
Line 01 - 02_load=1.0445_wind=0.7194_0.9684_0.0078,Line 01 - 02,1.65,Line 08 - 09DR1,,3
Line 01 - 39_load=1.0445_wind=0.7194_0.9684_0.0078,Line 01 - 39,1.76,Line 08 - 09DR1,,3
Line 02 - 03_load=1.0445_wind=0.7194_0.9684_0.0078,Line 02 - 03,2.95,Line 01 - 39DR2,,4
Line 02 - 25_load=1.0445_wind=0.7194_0.9684_0.0078,Line 02 - 25,2.28,NSG_2,OverVoltage,59
Line 03 - 04_load=1.0445_wind=0.7194_0.9684_0.0078,Line 03 - 04,1.46,Line 01 - 39DR2,,4
Line 03 - 18_load=1.0445_wind=0.7194_0.9684_0.0078,Line 03 - 18,3.12,Line 01 - 39DR2,,5
Line 04 - 05_load=1.0445_wind=0.7194_0.9684_0.0078,Line 04 - 05,1.46,Line 01 - 39DR2,,5
Line 04 - 14_load=1.0445_wind=0.7194_0.9684_0.0078,Line 04 - 14,3.06,Line 01 - 39DR2,,4
Line 05 - 06_load=1.0445_wind=0.7194_0.9684_0.0078,Line 05 - 06,3.01,Line 01 - 39DR2,,4
Line 05 - 08_load=1.0445_wind=0.7194_0.9684_0.0078,Line 05 - 08,1.87,Line 01 - 39DR2,,5
Line 06 - 07_load=1.0445_wind=0.7194_0.9684_0.0078,Line 06 - 07,3.0,Line 01 - 39DR2,,5
Line 06 - 11_load=1.0445_wind=0.7194_0.9684_0.0078,Line 06 - 11,3.07,Line 01 - 39DR2,,4
Line 07 - 08_load=1.0445_wind=0.7194_0.9684_0.0078,Line 07 - 08,1.79,Line 01 - 39DR2,,4
Line 08 - 09_load=1.0445_wind=0.7194_0.9684_0.0078,Line 08 - 09,1.93,Line 01 - 02DR1,,4
Line 09 - 39_load=1.0445_wind=0.7194_0.9684_0.0078,Line 09 - 39,2.11,Line 01 - 02DR1,,4
Line 10 - 11_load=1.0445_wind=0.7194_0.9684_0.0078,Line 10 - 11,3.01,Line 01 - 39DR2,,4
Line 10 - 13_load=1.0445_wind=0.7194_0.9684_0.0078,Line 10 - 13,1.71,Line 01 - 39DR2,,4
Line 13 - 14_load=1.0445_wind=0.7194_0.9684_0.0078,Line 13 - 14,2.99,Line 01 - 39DR2,,4
Line 15 - 16_load=1.0445_wind=0.7194_0.9684_0.0078,Line 15 - 16,2.15,NSG_2,OverVoltage,21
Line 16 - 17_load=1.0445_wind=0.7194_0.9684_0.0078,Line 16 - 17,2.46,NSG_2,OverVoltage,18
